Price,Close,High,Low,Open,Volume
Ticker,MOTHERSON.NS,MOTHERSON.NS,MOTHERSON.NS,MOTHERSON.NS,MOTHERSON.NS
Date,,,,,
2023-01-02,49.71318435668945,49.975869357722324,48.69527950796925,48.79378497420308,16344105
2023-01-03,49.94303512573242,50.14004981958544,49.417661356210125,49.71318527586102,10859731
2023-01-04,49.12214279174805,50.074377378218585,48.62960791996969,50.04154222113241,8710752
2023-01-05,49.581844329833984,49.68035356245809,48.5967745500509,49.22065383086025,7324356
2023-01-06,49.45050048828125,49.84452611998407,48.79378609178622,49.54900595677127,8076379
2023-01-09,50.53407669067383,50.73109138936556,49.778856810474544,49.84452712412418,15335931
2023-01-10,51.716163635253906,52.17586336859968,50.43557366821527,50.665423534888156,36685590
2023-01-11,50.69825744628906,52.04451769705104,50.271392881861374,51.88033815125356,13978857
2023-01-12,51.3221321105957,51.42064133954793,50.36989752460037,50.89526755320272,18534366
2023-01-13,50.73109436035156,51.19079409830625,48.39976051183038,51.19079409830625,41603080
2023-01-16,49.61467742919922,50.96094140983126,49.51617195840593,50.76392671050183,11901637
2023-01-17,48.728118896484375,50.69825845425198,48.10423961624458,48.39975979836112,56133672
2023-01-18,48.859458923339844,49.023638470364496,48.4654332713208,48.79378860762716,10135534
2023-01-19,48.793792724609375,48.9579722854867,48.16991715721341,48.62961316373205,11815812
2023-01-20,47.940059661865234,48.79378880047612,47.578869166274984,48.629609252802574,33414445
2023-01-23,48.1370735168457,48.366923376429575,47.54603316805455,48.00573288722229,12076575
2023-01-24,48.46543502807617,48.760955217238084,48.07140560403156,48.16991483891425,10079661
2023-01-25,47.71021270751953,48.53110291580324,47.21767783100073,48.46543260099884,10755367
2023-01-27,47.02066421508789,48.137074623524946,46.16693507193675,47.67737865153162,19400304
2023-01-30,48.0057373046875,48.202752024994716,46.33111781869102,47.02066746089466,19037101
2023-01-31,49.581844329833984,50.36989940211185,48.16991373448977,48.268419209370876,23899842
2023-02-01,48.66244888305664,50.07437948590627,47.67737909803722,49.84452961888554,13454178
2023-02-02,49.22065353393555,49.51617371453914,47.743048873174615,48.46543362450727,21250107
2023-02-03,49.84452819824219,50.56691293718359,48.99080282917121,49.45050255011055,21671890
2023-02-06,51.61765670776367,51.88033796772171,49.45050249342375,49.84452814110371,22104030
2023-02-07,52.60272979736328,52.931085150863794,51.48631558307251,51.6176599791186,39149149
2023-02-08,53.02958679199219,53.48928650827165,51.880337501293546,52.60272599065515,41891415
2023-02-09,52.077354431152344,53.81764414141331,51.486314060778064,53.81764414141331,37864893
2023-02-10,52.66839599609375,53.292271494711215,51.946011268712624,52.17586112550402,20582980
2023-02-13,52.24153137207031,53.06242156941241,51.946011201646584,52.83257171291777,12741529
2023-02-14,52.537052154541016,53.193766574711006,51.7161619476357,52.471381839846885,13355443
2023-02-15,52.60272979736328,53.160935025637094,52.274370686119624,52.734070435666226,8324116
2023-02-16,52.635562896728516,53.06242371224847,52.50421850582338,52.79973868818119,11105386
2023-02-17,52.34003829956055,52.89824725672097,51.913177489399324,52.734067709586384,7559548
2023-02-20,53.81764221191406,55.32808200004459,53.390781407611364,53.85047736934174,46480078
2023-02-21,53.94898986816406,54.17883974182742,53.39078464258583,54.14600458241024,12453493
2023-02-22,53.88331604003906,54.14600105601155,53.390781165372786,53.52212179448759,19416834
2023-02-23,54.08032989501953,54.31017599237302,53.22660078816387,53.91615035345279,14527701
2023-02-24,54.14600372314453,54.50719422874471,53.62063366532079,54.17883888204064,8509320
2023-02-27,51.51914978027344,54.310179627249376,51.026614880351616,54.310179627249376,15409105
2023-02-28,52.30720520019531,53.45645455987944,51.74899997881006,51.74899997881006,18410106
2023-03-01,53.456451416015625,53.58779580271627,52.40571135338198,52.53705198233975,11773822
2023-03-02,53.02958679199219,53.4564513510721,52.865407248251564,53.19376633573282,6612655
2023-03-03,52.569889068603516,53.58779776909222,52.307204043306015,53.554958852904896,13098846
2023-03-06,54.6385383605957,55.065402939688354,53.85047951988833,53.85047951988833,27097054
2023-03-08,54.868385314941406,54.99972594292055,53.98182104511081,54.27734121580673,10075456
2023-03-09,54.310176849365234,55.09823565512657,53.78480681735293,54.966891268252056,9390082
2023-03-10,54.54002380371094,54.67136818359107,53.42361348457184,53.8833131775383,7752126
2023-03-13,52.40570831298828,54.310173626585716,52.07734924415834,53.9161480048295,11594085
2023-03-14,51.74899673461914,52.66839616472847,51.35496733378861,52.47138146431321,11070147
2023-03-15,50.43557357788086,52.47138345812895,49.910199770895964,52.07735404232603,7833699
2023-03-16,44.9848518371582,46.82365080710532,43.375906496197565,46.82365080710532,629861299
2023-03-17,44.52515411376953,45.83857921405642,43.60575466469724,45.57589419399905,42735310
2023-03-20,43.047550201416016,44.360975324117014,42.78486517687582,43.70426088389501,50692723
2023-03-21,43.047550201416016,43.54008509214677,42.39083576119402,43.408740701005165,33706230
2023-03-22,42.98187255859375,43.605751788671284,42.784861624851814,43.31023163031569,32063304
2023-03-23,42.85053634643555,42.98187698244824,42.390836604904976,42.98187698244824,21396952
2023-03-24,42.522178649902344,43.507248483610404,42.160988131156216,42.8505377663005,20444788
2023-03-27,42.12814712524414,42.62068197375264,41.701282587805395,42.52217274940533,26154885
2023-03-28,41.30725860595703,42.32516349897923,40.58487388224082,42.22665427071535,33483847
2023-03-29,42.39083480834961,42.686354984596875,41.14308003039445,41.307259576195335,30268953
2023-03-31,44.065452575683594,44.13112288855949,42.555012833081314,42.94903846807947,22257579
2023-04-03,44.3938102722168,44.62366013731877,44.03261977433826,44.557989820930494,11383434
2023-04-05,44.3609733581543,44.62365837105298,43.90127364614589,44.393808515048775,8557086
2023-04-06,44.590824127197266,44.72216851520743,43.99978001776592,44.32813910891986,7116240
2023-04-10,44.6236572265625,44.984847700880955,44.06545205818728,44.75500160851459,10099228
2023-04-11,44.88634490966797,45.11619477348492,44.45948034004464,44.656495045851024,10143691
2023-04-12,45.21470260620117,45.90424841857275,44.853508363775255,45.21470260620117,19766322
2023-04-13,44.85350799560547,45.74007225815298,44.525152670612194,45.411713175416885,8728773
2023-04-17,45.21470260620117,45.31320807718487,44.262468022387374,44.78783804978612,9565654
2023-04-18,45.11619186401367,45.510221250216105,44.853506859126284,45.4773823365803,13915387
2023-04-19,45.31321334838867,45.67440387508839,44.72217293824613,45.11619862576006,15196144
